author,published_at,text,like_count,fator_ritmo,texto_limpo,valencia_zs,ativacao_zs
@taniareginadasnevesdasilva476,2025-05-28T04:12:49Z,Muita saudade dela 🫃💙 . Eu amor muito ela a Regiane 🫂 eu e ela sempre vou ti amar mulher  da minha vida ela mora aqui na estrada di itacoatiara interior 🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆eu sou o homem dela as.mano Geralzinho ki sou eu o mano Mayco 👌🏻🤟🙌☯️🌍🏁✈️🚙🙇‍♂️.eu e a mulher samos PCC eo mano Geral tamos junto PCC eo família do mano Geral e Geralzinho 🫂💙🫃mano,2,Movimento,muita saudade dela 🫃💙 eu amor muito ela a regiane 🫂 eu e ela sempre vou ti amar mulher da minha vida ela mora aqui na estrada di itacoatiara interior 🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆🎆eu sou o homem dela asmano geralzinho ki sou eu o mano mayco 👌🏻🤟🙌☯️🌍🏁✈️🚙🙇‍♂️eu e a mulher samos pcc eo mano geral tamos junto pcc eo família do mano geral e geralzinho 🫂💙🫃mano,3.0,3.0
@JonathanRabelo-z4q,2025-05-24T19:33:30Z,"No refrão parecendo um fanho cantando..kkk..decadência da música e sociedade..já dizia Platão,a música tbm é um forma de embecializar as pessoas..vc que vai se doer por esse comentário,volta daqui dez anos ou menos e vê se essa merda vai ser sucesso ainda..kkk",0,Movimento,no refrão parecendo um fanho cantandokkkdecadência da música e sociedadejá dizia platãoa música tbm é um forma de embecializar as pessoasvc que vai se doer por esse comentáriovolta daqui dez anos ou menos e vê se essa merda vai ser sucesso aindakkk,1.0,3.0
@CarlWerner-z3e,2025-05-22T06:09:55Z,Merda merda que merda só fala de drogas sem conteúdo nenhum informação 0,0,Movimento,merda merda que merda só fala de drogas sem conteúdo nenhum informação,2.0,3.0
@thiagohenrique7526,2025-05-18T20:28:28Z,Amo essa músicaaaa alguém em 05/25?,0,Movimento,amo essa músicaaaa alguém em,4.0,3.0
@Leozinn077off,2025-05-18T05:18:52Z,Eu amo o Tuto e a música ❤❤,0,Movimento,eu amo o tuto e a música ❤❤,3.0,3.0
@MarcusVinicius-fi2tu,2025-05-17T18:46:19Z,Que mulher mais sem graça que ele colocou no clip. Da pra ver que ela não queria estar lá.,0,Movimento,que mulher mais sem graça que ele colocou no clip da pra ver que ela não queria estar lá,1.0,3.0
@LuízFernandoMorais-x7k,2025-05-17T11:18:51Z,Gata gata fique charmosa Diniz joga para o maloqueiro Kevinho,0,Movimento,gata gata fique charmosa diniz joga para o maloqueiro kevinho,1.0,3.0
@AlexAndre-b2r,2025-05-17T08:25:22Z,Eu amo esa músicas ❤❤❤❤❤❤,0,Movimento,eu amo esa músicas ❤❤❤❤❤❤,3.0,3.0
@FlavioSousa-p8f,2025-05-16T22:06:01Z,T_shirt linda,0,Movimento,tshirt linda,3.0,2.0
@casturinacamargo3091,2025-05-16T20:06:07Z,Eu.  AMO.   ESSA.  MÚSICA 🎶 ❤,0,Movimento,eu amo essa música 🎶 ❤,3.0,3.0
@matheusvinicius1,2025-05-16T16:12:00Z,"Eu nunca vi falar dela , mas gostei ❤",0,Movimento,eu nunca vi falar dela mas gostei ❤,3.0,3.0
@alexandremartins9587,2025-05-14T23:48:24Z,"Gata chique, charmosa de Valentino
Joga pro maloqueiro que é rico
Só toma champanhe, cansou de whisky
Já é sexta eu 'to no pique
Fim de semana transborda o copo dessa gata
Aí vai ter show com o JK
Nóis vai beber, se divertir
Na pista avista ela dançando
E o foco dela é descer
Ai ui que maravilha
Quer sentar para o 2T
Barbie, quer encostar na party
'Tá com um montão de amiga linda
Querendo dar condição
Sabe que os moleque é drake
Não é bigode não
Puxa a fixa limpa
Vê que nóis não é ramelão
Mais uma manhã eu 'to em outra cidade
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn
De manhã eu 'to
Louco de MD aqui nesse quarto
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn ahn ahn ahn
Gata chique, charmosa de Valentino
Joga pro maloqueiro que é rico
Só toma champanhe, cansou de whisky
Já é sexta eu 'to no pique
Fim de semana transborda o copo dessa gata
Aí vai ter show com o JK
Nóis vai beber, se divertir
Na pista avista ela dançando
E o foco dela é descer
Ai ui que maravilha
Quer sentar para o 2T
Barbie, quer encostar na party
'Tá com um montão de amiga linda
Querendo dar condição
Sabe que os moleque é drake
Não é bigode não
Puxa a fixa limpa
Vê que nóis não é ramelão
Mais uma manhã eu 'to em outra cidade
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn
De manhã eu 'to
Louco de MD aqui nesse quarto
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn ahn ahn ahn",0,Movimento,gata chique charmosa de valentino joga pro maloqueiro que é rico só toma champanhe cansou de whisky já é sexta eu to no pique fim de semana transborda o copo dessa gata aí vai ter show com o jk nóis vai beber se divertir na pista avista ela dançando e o foco dela é descer ai ui que maravilha quer sentar para o t barbie quer encostar na party tá com um montão de amiga linda querendo dar condição sabe que os moleque é drake não é bigode não puxa a fixa limpa vê que nóis não é ramelão mais uma manhã eu to em outra cidade com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn de manhã eu to louco de md aqui nesse quarto com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn ahn ahn ahn gata chique charmosa de valentino joga pro maloqueiro que é rico só toma champanhe cansou de whisky já é sexta eu to no pique fim de semana transborda o copo dessa gata aí vai ter show com o jk nóis vai beber se divertir na pista avista ela dançando e o foco dela é descer ai ui que maravilha quer sentar para o t barbie quer encostar na party tá com um montão de amiga linda querendo dar condição sabe que os moleque é drake não é bigode não puxa a fixa limpa vê que nóis não é ramelão mais uma manhã eu to em outra cidade com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn de manhã eu to louco de md aqui nesse quarto com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn ahn ahn ahn,2.0,3.0
@thaismelini4228,2025-05-14T20:34:16Z,Pelo amor de Deus horrível,0,Movimento,pelo amor de deus horrível,1.0,4.0
@RudineiOliveira-p2x,2025-05-13T01:24:20Z,Muito top,0,Movimento,muito top,3.0,4.0
@matheusbrandao7022,2025-05-12T06:40:00Z,Os caras só sugando o talento do mlk. Quando lançar o vídeo tem nem graça mais,0,Movimento,os caras só sugando o talento do mlk quando lançar o vídeo tem nem graça mais,1.0,3.0
@StefanyTavares-n5h,2025-05-11T19:43:19Z,Essa não eh top mas eh trih,0,Movimento,essa não eh top mas eh trih,1.0,2.0
@EnoqueRosasoares,2025-05-11T18:52:32Z,Gostei de vc Tuto ❤,0,Movimento,gostei de vc tuto ❤,3.0,3.0
@adelinoplay9807,2025-05-11T03:07:20Z,"Valew Rikinho, você é muito foda mano, satisfação meu mano",0,Movimento,valew rikinho você é muito foda mano satisfação meu mano,3.0,3.0
@ErnandaFerreira,2025-05-10T22:30:03Z,Música top❤,0,Movimento,música top❤,3.0,3.0
@bya6856,2025-05-10T14:43:34Z,Essa é top❤,0,Movimento,essa é top❤,3.0,3.0
@carlasylva5861,2025-05-07T23:41:21Z,Esse som muito top música top eu 😍,0,Movimento,esse som muito top música top eu 😍,3.0,4.0
@Sebastiaosouzamoita,2025-05-07T12:47:11Z,Amo essa música❤❤❤❤,0,Movimento,amo essa música❤❤❤❤,3.0,4.0
@AlunosInformática-m8w,2025-05-06T13:47:27Z,AMEI   A MUSICA ME NOTA  POR VAVOR,1,Movimento,amei a musica me nota por vavor,3.0,4.0
@NayaraSantos-pg7gi,2025-05-05T20:43:50Z,Esse som é top eu curto 😊,1,Movimento,esse som é top eu curto 😊,3.0,3.0
@susanacarvalho9504,2025-05-05T18:36:33Z,Não gosto da camisola do porto,1,Movimento,não gosto da camisola do porto,1.0,3.0
@ryanguilherme2844,2025-05-04T15:55:43Z,Cara amo as músicas dele mais parece que ele canta pra dentro de 10 coisas que ele fala 11 eu não entendo SLK mais a música e top kakakaka,1,Movimento,cara amo as músicas dele mais parece que ele canta pra dentro de coisas que ele fala eu não entendo slk mais a música e top kakakaka,3.0,3.0
@Tenebroso_S,2025-05-04T13:44:10Z,Essa música só me lembro de Erika 😢,1,Movimento,essa música só me lembro de erika 😢,1.0,3.0
@GREICEDORNELLESRosa,2025-05-03T17:35:25Z,linda❤,1,Movimento,linda❤,,
@rosimeireribeiro5485,2025-04-30T15:56:04Z,Bom demais top🎉,1,Movimento,bom demais top🎉,3.0,3.0
@maxcavalera2006,2025-04-28T19:35:14Z,"Barbie
MC Tuto

(DJ Glenner)
(DJ Glenner)

Gata (gata)
Chique e charmosa de Valentino
Joga pro maloqueiro que é rico
Só toma champanhe, cansou de whisky
Já é sexta, eu tô no pique

Fim de semana, transborda o copo dessa gata aí
Night é show com JK, nóis vai beber, se divertir
Na pista, eu visto ela dançando, e o foco dela é descer
Ai, ui, que maravilha, quer sentar para o 2T
Barbie quer encostar na party, tá com um montão
De amiga linda querendo dar condição
Sabe que os moleque é drake, né bigode não
Puxa a ficha limpa, vê que nóis né ramelão

Mais um amanhã, eu tô em outra cidade
Com duas putinha que eu achava que era fã
Com duas lindinha que senta até de manhã
Ahn-ahn-ahn
De manhã eu tô louco de MD aqui nesse quarto
Com duas putinha que eu achava que era fã
Com duas lindinha que senta até de manhã
Ahn-ahn-ahn-ahn-ahn-ahn

Gata (gata)
Chique e charmosa de Valentino
Joga pro maloqueiro que é rico
Só toma champanhe, cansou de whisky
Já é sexta, eu tô no pique

Fim de semana, transborda o copo dessa gata aí
Night é show com Jottak, nóis vai beber, se divertir
Na pista, eu visto ela dançando, e o foco dela é descer
Ai, ui, que maravilha, quer sentar para o 2T
Barbie quer encostar na party, tá com um montão
De amiga linda querendo dar condição
Sabe que os moleque é drake, né bigode não
Puxa a ficha limpa, vê que nóis né ramelão

Mais um amanhã, eu tô em outra cidade
Com duas putinha que eu achava que era fã
Com duas lindinha que senta até de manhã
Ahn-ahn-ahn
De manhã eu tô louco de MD aqui nesse quarto
Com duas putinha que eu achava que era fã
Com duas lindinha que senta até de manhã
Ahn-ahn-ahn-ahn-ahn-ahn

(DJ Glenner)
(DJ Glenner)",0,Movimento,barbie mc tuto dj glenner dj glenner gata gata chique e charmosa de valentino joga pro maloqueiro que é rico só toma champanhe cansou de whisky já é sexta eu tô no pique fim de semana transborda o copo dessa gata aí night é show com jk nóis vai beber se divertir na pista eu visto ela dançando e o foco dela é descer ai ui que maravilha quer sentar para o t barbie quer encostar na party tá com um montão de amiga linda querendo dar condição sabe que os moleque é drake né bigode não puxa a ficha limpa vê que nóis né ramelão mais um amanhã eu tô em outra cidade com duas putinha que eu achava que era fã com duas lindinha que senta até de manhã ahnahnahn de manhã eu tô louco de md aqui nesse quarto com duas putinha que eu achava que era fã com duas lindinha que senta até de manhã ahnahnahnahnahnahn gata gata chique e charmosa de valentino joga pro maloqueiro que é rico só toma champanhe cansou de whisky já é sexta eu tô no pique fim de semana transborda o copo dessa gata aí night é show com jottak nóis vai beber se divertir na pista eu visto ela dançando e o foco dela é descer ai ui que maravilha quer sentar para o t barbie quer encostar na party tá com um montão de amiga linda querendo dar condição sabe que os moleque é drake né bigode não puxa a ficha limpa vê que nóis né ramelão mais um amanhã eu tô em outra cidade com duas putinha que eu achava que era fã com duas lindinha que senta até de manhã ahnahnahn de manhã eu tô louco de md aqui nesse quarto com duas putinha que eu achava que era fã com duas lindinha que senta até de manhã ahnahnahnahnahnahn dj glenner dj glenner,3.0,2.0
@bartoamorim1680,2025-04-27T05:07:55Z,"Letra 

Gata chique, charmosa de Valentino
Joga pro maloqueiro que é rico
Só toma champanhe, cansou de whisky
Já é sexta eu 'to no pique

Fim de semana transborda o copo dessa gata
Aí vai ter show com o JK
Nóis vai beber, se divertir
Na pista avista ela dançando
E o foco dela é descer
Ai ui que maravilha
Quer sentar para o 2T

Barbie, quer encostar na party
'Tá com um montão de amiga linda
Querendo dar condição
Sabe que os moleque é drake
Não é bigode não
Puxa a fixa limpa
Vê que nóis não é ramelão

Mais uma manhã eu 'to em outra cidade
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn

De manhã eu 'to
Louco de MD aqui nesse quarto
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn ahn ahn ahn

Gata chique, charmosa de Valentino
Joga pro maloqueiro que é rico
Só toma champanhe, cansou de whisky
Já é sexta eu 'to no pique

Fim de semana transborda o copo dessa gata
Aí vai ter show com o JK
Nóis vai beber, se divertir
Na pista avista ela dançando
E o foco dela é descer
Ai ui que maravilha
Quer sentar para o 2T

Barbie, quer encostar na party
'Tá com um montão de amiga linda
Querendo dar condição
Sabe que os moleque é drake
Não é bigode não
Puxa a fixa limpa
Vê que nóis não é ramelão

Mais uma manhã eu 'to em outra cidade
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn

De manhã eu 'to
Louco de MD aqui nesse quarto
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn ahn ahn ahn",1,Movimento,letra gata chique charmosa de valentino joga pro maloqueiro que é rico só toma champanhe cansou de whisky já é sexta eu to no pique fim de semana transborda o copo dessa gata aí vai ter show com o jk nóis vai beber se divertir na pista avista ela dançando e o foco dela é descer ai ui que maravilha quer sentar para o t barbie quer encostar na party tá com um montão de amiga linda querendo dar condição sabe que os moleque é drake não é bigode não puxa a fixa limpa vê que nóis não é ramelão mais uma manhã eu to em outra cidade com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn de manhã eu to louco de md aqui nesse quarto com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn ahn ahn ahn gata chique charmosa de valentino joga pro maloqueiro que é rico só toma champanhe cansou de whisky já é sexta eu to no pique fim de semana transborda o copo dessa gata aí vai ter show com o jk nóis vai beber se divertir na pista avista ela dançando e o foco dela é descer ai ui que maravilha quer sentar para o t barbie quer encostar na party tá com um montão de amiga linda querendo dar condição sabe que os moleque é drake não é bigode não puxa a fixa limpa vê que nóis não é ramelão mais uma manhã eu to em outra cidade com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn de manhã eu to louco de md aqui nesse quarto com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn ahn ahn ahn,2.0,3.0
@NeiMullerCordeiro,2025-04-26T19:28:06Z,Nossa quanta mulher linda e loira pra botar de Barbie,1,Movimento,nossa quanta mulher linda e loira pra botar de barbie,3.0,3.0
@Conta2-x6l,2025-04-26T15:07:00Z,Bonita música achei muito boa eu gosto muito quem gosta aí vai,2,Movimento,bonita música achei muito boa eu gosto muito quem gosta aí vai,3.0,3.0
@SaulQuaresma-dl5ok,2025-04-25T12:16:07Z,Top,0,Movimento,top,,
@AtanaziaFerreira-n8s,2025-04-24T18:41:54Z,❤ música linda,2,Movimento,❤ música linda,3.0,3.0
@Felipe-t1c6j,2025-04-23T22:01:03Z,Você é louco não compensa,3,Movimento,você é louco não compensa,1.0,3.0
@IsabelEstevaoBoa,2025-04-20T08:51:08Z,Nao  aguentei com essa music  gostei❤❤❤❤,0,Movimento,nao aguentei com essa music gostei❤❤❤❤,3.0,4.0
@MariaSophia-h8v,2025-04-19T22:27:34Z,🎉❤❤ Eu GOSTEI. DA.  Música❤😊,0,Movimento,🎉❤❤ eu gostei da música❤😊,3.0,3.0
@celebridadetanafama,2025-04-19T19:10:23Z,Te amo Mc tutu ❤ obrigado irmão suas músicas energia de luz Deus tá contigo mlk lindo ❤ 00 da midía,1,Movimento,te amo mc tutu ❤ obrigado irmão suas músicas energia de luz deus tá contigo mlk lindo ❤ da midía,4.0,3.0
@livramentosousasousa6101,2025-04-19T19:09:51Z,Linda música ❤❤,0,Movimento,linda música ❤❤,3.0,3.0
@NaiaraCampos-x6o,2025-04-19T17:52:11Z,Só toma chapéu que eu sou de winx a Suzana gostei dessa música muito favorita minha sou sua fã que minha mãe ama,0,Movimento,só toma chapéu que eu sou de winx a suzana gostei dessa música muito favorita minha sou sua fã que minha mãe ama,3.0,3.0
@supermegaultra8861,2025-04-18T05:58:02Z,5 meses e ainda tá no top 10!!! Monstro de+ cê loko pae!!,0,Movimento,meses e ainda tá no top monstro de cê loko pae,3.0,4.0
@AylanycolleSantanaFerreira-e5x,2025-04-17T00:34:31Z,eu amo essa musica❤❤❤,2,Movimento,eu amo essa musica❤❤❤,3.0,4.0
@haggioliveira6896,2025-04-16T21:16:21Z,"E minha filha de 4 anos que tava aqui chorando pra min colocar pra ela ouvir,pensa num vicío nessa musica,kkkk contagio ate a criançada,essa ficou a pura❤😂",0,Movimento,e minha filha de anos que tava aqui chorando pra min colocar pra ela ouvirpensa num vicío nessa musicakkkk contagio ate a criançadaessa ficou a pura❤😂,3.0,3.0
@dgdigooficial,2025-04-16T18:39:28Z,"Gata chique, charmosa de Valentino
Joga pro maloqueiro que é rico
Só toma champanhe, cansou de whisky
Já é sexta eu 'to no pique
Fim de semana transborda o copo dessa gata
Aí vai ter show com o JK
Nóis vai beber, se divertir
Na pista avista ela dançando
E o foco dela é descer
Ai ui que maravilha
Quer sentar para o 2T
Barbie, quer encostar na party
'Tá com um montão de amiga linda
Querendo dar condição
Sabe que os moleque é drake
Não é bigode não
Puxa a fixa limpa
Vê que nóis não é ramelão
Mais uma manhã eu 'to em outra cidade
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn
De manhã eu 'to
Louco de MD aqui nesse quarto
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn ahn ahn ahn
Gata chique, charmosa de Valentino
Joga pro maloqueiro que é rico
Só toma champanhe, cansou de whisky
Já é sexta eu 'to no pique
Fim de semana transborda o copo dessa gata
Aí vai ter show com o JK
Nóis vai beber, se divertir
Na pista avista ela dançando
E o foco dela é descer
Ai ui que maravilha
Quer sentar para o 2T
Barbie, quer encostar na party
'Tá com um montão de amiga linda
Querendo dar condição
Sabe que os moleque é drake
Não é bigode não
Puxa a fixa limpa
Vê que nóis não é ramelão
Mais uma manhã eu 'to em outra cidade
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã
Ahn ahn ahn
De manhã eu 'to
Louco de MD aqui nesse quarto
Com duas putinhas
Que eu achava que era fã
Com duas lindinhas
Que senta até de manhã ...
💥🚀",0,Movimento,gata chique charmosa de valentino joga pro maloqueiro que é rico só toma champanhe cansou de whisky já é sexta eu to no pique fim de semana transborda o copo dessa gata aí vai ter show com o jk nóis vai beber se divertir na pista avista ela dançando e o foco dela é descer ai ui que maravilha quer sentar para o t barbie quer encostar na party tá com um montão de amiga linda querendo dar condição sabe que os moleque é drake não é bigode não puxa a fixa limpa vê que nóis não é ramelão mais uma manhã eu to em outra cidade com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn de manhã eu to louco de md aqui nesse quarto com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn ahn ahn ahn gata chique charmosa de valentino joga pro maloqueiro que é rico só toma champanhe cansou de whisky já é sexta eu to no pique fim de semana transborda o copo dessa gata aí vai ter show com o jk nóis vai beber se divertir na pista avista ela dançando e o foco dela é descer ai ui que maravilha quer sentar para o t barbie quer encostar na party tá com um montão de amiga linda querendo dar condição sabe que os moleque é drake não é bigode não puxa a fixa limpa vê que nóis não é ramelão mais uma manhã eu to em outra cidade com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã ahn ahn ahn de manhã eu to louco de md aqui nesse quarto com duas putinhas que eu achava que era fã com duas lindinhas que senta até de manhã 💥🚀,1.0,3.0
@claudineisantos5914,2025-04-15T23:27:20Z,eu amo muito suas músicas parabéns teamo muito. 💗💓💖💕💝❤️💘💞,5,Movimento,eu amo muito suas músicas parabéns teamo muito 💗💓💖💕💝❤️💘💞,3.0,3.0
@elaineribeiro1423,2025-04-15T18:13:55Z,"Sai da fase de tristeza , de tanto ouvir essa música  .",0,Movimento,sai da fase de tristeza de tanto ouvir essa música,3.0,3.0
@NeinhaSouza-y2g,2025-04-14T19:59:19Z,"❤❤❤to amo
🎉🎉🎉",1,Movimento,❤❤❤to amo 🎉🎉🎉,3.0,3.0
@louisealcantara1886,2025-04-14T18:35:59Z,tô viciada nessa música,0,Movimento,tô viciada nessa música,3.0,3.0
@DanielClaudinoMelo,2025-04-13T19:08:27Z,MEU amor vc tem que vai passar,0,Movimento,meu amor vc tem que vai passar,3.0,3.0
@dredre747,2025-04-12T11:36:48Z,"Amei não  ver mulheres vulgarizadas no clip, essa Barbie ficou maravilhosamente sem vulgaridade!.❤❤❤",0,Movimento,amei não ver mulheres vulgarizadas no clip essa barbie ficou maravilhosamente sem vulgaridade❤❤❤,3.0,1.0
@LannimarMariaOliveiradoNascime,2025-04-12T00:50:18Z,Linda de mais tuto 🎉🎉🎉🎉 linda demais,0,Movimento,linda de mais tuto 🎉🎉🎉🎉 linda demais,3.0,3.0
@LannimarMariaOliveiradoNascime,2025-04-12T00:49:05Z,Linda de mais  MC. Tuto,0,Movimento,linda de mais mc tuto,3.0,2.0
@CaioAzevedoPinheiro,2025-04-11T23:10:46Z,Música chata 😂,0,Movimento,música chata 😂,0.0,3.0
@japinha_xls,2025-04-10T19:41:06Z,Eu super faria uma boneca sem olho pra vender oq os olhos nn vem o coração nn sente,0,Movimento,eu super faria uma boneca sem olho pra vender oq os olhos nn vem o coração nn sente,1.0,3.0
@JulianaFigueiredo-f3r,2025-04-10T14:20:30Z,Gostei 😂❤❤,0,Movimento,gostei 😂❤❤,3.0,3.0
@PedroGomes-i1l,2025-04-09T13:14:02Z,Cê louco não compensa,0,Movimento,cê louco não compensa,1.0,3.0
@suelisilvasantos6836,2025-04-07T21:57:56Z,Djjdhd eu gosto de ruudjdkdd,0,Movimento,djjdhd eu gosto de ruudjdkdd,3.0,3.0
@GeremiasJesus-e2l,2025-04-07T21:42:09Z,E top esse som,0,Movimento,e top esse som,4.0,4.0
@esmaelleiti-n6p,2025-04-07T20:50:30Z,amo mt essa pq ela me relaxa😍💝❤,1,Movimento,amo mt essa pq ela me relaxa😍💝❤,4.0,0.0
@JonasBatistA-p7e,2025-04-07T01:23:55Z,O gatinho linda no coração queria tá aí com tu dançando❤,0,Movimento,o gatinho linda no coração queria tá aí com tu dançando❤,3.0,3.0
@ThamiresRosa-o8y,2025-04-06T21:26:50Z,Eu amo essa música ❤,0,Movimento,eu amo essa música ❤,3.0,3.0
@JovaniltonBorges-p8f,2025-04-06T14:49:37Z,Muito top,0,Movimento,muito top,3.0,4.0
@ElivanioDeoliveira,2025-04-06T03:16:30Z,Essa eu amo e gosto dessa música❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,Movimento,essa eu amo e gosto dessa música❤❤❤❤❤❤❤❤❤❤❤❤❤❤,3.0,3.0
@L7incoln,2025-04-05T23:22:01Z,"top
vc e bravo",1,Movimento,top vc e bravo,3.0,4.0
@flpcosta1,2025-04-05T03:17:01Z,Linda,0,Movimento,linda,,
@FabianaDonadia-n1p,2025-04-04T23:41:50Z,Amei essa musica,0,Movimento,amei essa musica,3.0,3.0
@AdrielySantos-b5p,2025-04-04T16:22:43Z,"❤😂 Manda essa música muito bonita cara eu gostei dela minha foto
🎉🎉🎉🏞",4,Movimento,❤😂 manda essa música muito bonita cara eu gostei dela minha foto 🎉🎉🎉🏞,3.0,3.0
