author,published_at,text,like_count,contexto,texto_limpo,texto_processado
@Jumeoww,2025-06-27T08:03:39Z,"Nao dormi, 1 hora escutando",0,musica_dormir,nao dormi hora escutando,nao dormi hora escutando
@_LEOp1_,2025-06-27T07:13:22Z,Vlw por ajudar😁,0,musica_dormir,vlw por ajudar😁,vlw ajudar😁
@elizabethvenancio2590,2025-06-27T03:13:46Z,AMEN,0,musica_dormir,amen,amen
@skarletOliveira-wx7zw,2025-06-27T00:10:13Z,"Obrigado pelos comentários pessoal, salvaram minha noite ❤😭😭😭😭😭😭😓",0,musica_dormir,obrigado pelos comentários pessoal salvaram minha noite ❤😭😭😭😭😭😭😓,comentários pessoal salvaram noite ❤😭😭😭😭😭😭😓
@Jaqueline6087,2025-06-26T16:43:38Z,"Meu filho de 2 anos, ama esse som. Todos os dias na soneca da tarde ouvimos é bem relaxante ♥️✨️",0,musica_dormir,meu filho de anos ama esse som todos os dias na soneca da tarde ouvimos é bem relaxante ♥️✨️,filho anos ama todos dias soneca tarde ouvimos relaxante ♥️✨️
@etienelmd,2025-06-25T03:39:30Z,Muito bom para poder dormir tranquilo recomendo muitooo!!,0,musica_dormir,muito bom para poder dormir tranquilo recomendo muitooo,bom poder recomendo muitooo
@silvanamaria719,2025-06-24T16:45:31Z,Eu ne claro,0,musica_dormir,eu ne claro,ne claro
@laurapriscila8081,2025-06-24T06:04:24Z,Quero ver se em 2027 ou 2026 vai ter essa música (obs 2025 aqui),0,musica_dormir,quero ver se em ou vai ter essa música obs aqui,quero obs
@LorenaQuevelyn,2025-06-23T22:45:04Z,Vinde a Mim todos os que estão cansados e Eu vos aliviarei ❤ - Jesus,0,musica_dormir,vinde a mim todos os que estão cansados e eu vos aliviarei ❤ jesus,vinde todos cansados aliviarei ❤ jesus
@joaocarlosalvessilveiran-fv3sw,2025-06-23T03:37:16Z,Bem legal,0,musica_dormir,bem legal,legal
@DanyCGamer,2025-06-22T20:44:08Z,"Ahhh, relaxante para dormir e acalmar",0,musica_dormir,ahhh relaxante para dormir e acalmar,ahhh relaxante acalmar
@louisius333,2025-06-22T20:22:20Z,Mano eu tô tão ansioso pra ver se esse video func,0,musica_dormir,mano eu tô tão ansioso pra ver se esse video func,mano tô ansioso func
@MariaSouza-c1q,2025-06-22T16:27:44Z,Tenho MT dificuldade de dormir a tarde sempre coloco essas músicas assim desse perfil 😴😴,0,musica_dormir,tenho mt dificuldade de dormir a tarde sempre coloco essas músicas assim desse perfil 😴😴,dificuldade tarde coloco músicas assim desse perfil 😴😴
@Fãdeattackontitan,2025-06-22T00:21:03Z,querendo saber até quando eu vou sofrer com ansiedade,0,musica_dormir,querendo saber até quando eu vou sofrer com ansiedade,querendo sofrer ansiedade
@elianepinheiro1869,2025-06-21T19:45:09Z,Tomei um remédio e não consigo dormir estou sem forças,1,musica_dormir,tomei um remédio e não consigo dormir estou sem forças,tomei remédio consigo forças
@maizacayres1050,2025-06-21T18:45:51Z,"Tenho sentindo que este mundo não me pertence mais,tudo tão estranho.",0,musica_dormir,tenho sentindo que este mundo não me pertence maistudo tão estranho,sentindo mundo pertence maistudo estranho
@AnaLuciaFerreira-rm5lq,2025-06-21T10:27:20Z,Tudo passa!,2,musica_dormir,tudo passa,passa
@AnaLuciaFerreira-rm5lq,2025-06-21T10:18:46Z,Amei,0,musica_dormir,amei,amei
@elitaniatania7311,2025-06-21T07:51:20Z,Se vc botar essa musica e colocar o cll embaixo do travesseiro vc vai relaxar muito,1,musica_dormir,se vc botar essa musica e colocar o cll embaixo do travesseiro vc vai relaxar muito,botar musica colocar cll embaixo travesseiro
@claudiolima3995,2025-06-21T05:15:53Z,Eu ouvindo agora gratidão e que nosso senhor Jesus abençoe a todos,0,musica_dormir,eu ouvindo agora gratidão e que nosso senhor jesus abençoe a todos,ouvindo gratidão senhor jesus abençoe todos
@AntoninaAlves-zv4dm,2025-06-21T02:57:35Z,"Durman com DEUS 

DEUS TE AMA MAIS QUE TUDO NESSA VIDA 🧬🙏🏻😊",1,musica_dormir,durman com deus deus te ama mais que tudo nessa vida 🧬🙏🏻😊,durman deus deus ama nessa vida 🧬🙏🏻😊
@AntoninaAlves-zv4dm,2025-06-21T02:56:26Z,Boa noite gente,1,musica_dormir,boa noite gente,boa noite
@AntoninaAlves-zv4dm,2025-06-21T02:52:28Z,Sabia que amanhã é meu aniversário 21/06/2025❤,1,musica_dormir,sabia que amanhã é meu aniversário ❤,sabia amanhã aniversário ❤
@AntoninaAlves-zv4dm,2025-06-21T02:51:30Z,"AMO OS SEUS VÍDEOS 😍💞😊

MANDA UM SALVE 😊",1,musica_dormir,amo os seus vídeos 😍💞😊 manda um salve 😊,amo vídeos 😍💞😊 manda salve 😊
@AntoninaAlves-zv4dm,2025-06-21T02:50:20Z,Kk,1,musica_dormir,kk,kk
@AntoninaAlves-zv4dm,2025-06-21T02:49:56Z,"A imagem e bem bonita ❤

Queria morar aí nesse lugar 

Que pena que não existe 😅",2,musica_dormir,a imagem e bem bonita ❤ queria morar aí nesse lugar que pena que não existe 😅,imagem bonita ❤ queria morar aí nesse lugar pena existe 😅
@AntoninaAlves-zv4dm,2025-06-21T02:47:39Z,Nossa muito bom,1,musica_dormir,nossa muito bom,bom
@marialindalva1373,2025-06-21T02:16:52Z,Relax,0,musica_dormir,relax,relax
@maralisamoura6134,2025-06-21T01:37:43Z,A paz que sinto ao ouvir esse som ❤,0,musica_dormir,a paz que sinto ao ouvir esse som ❤,paz sinto ouvir ❤
@paulaizabel4707,2025-06-20T01:28:19Z,Estou de novo aqui❤,0,musica_dormir,estou de novo aqui❤,novo aqui❤
@WhtsApp2-,2025-06-19T17:41:52Z,"Tem na magalu, tem na magalu",0,musica_dormir,tem na magalu tem na magalu,magalu magalu
@Vah02626,2025-06-19T09:25:08Z,"Oxiii, ontem eu escutei outra música e AGR ?",0,musica_dormir,oxiii ontem eu escutei outra música e agr,oxiii ontem escutei outra agr
@angelitabaroni3032,2025-06-19T02:02:46Z,Minha mãe estava inquieta e caí aqui de paraquedas e ela dormiu. Glória a Deus!!,0,musica_dormir,minha mãe estava inquieta e caí aqui de paraquedas e ela dormiu glória a deus,mãe inquieta caí paraquedas dormiu glória deus
@jademarinho8213,2025-06-18T04:44:26Z,"Jesus está em teu coração . Se você pensar nele, ele virá até você ! Seja feliz ☘️",0,musica_dormir,jesus está em teu coração se você pensar nele ele virá até você seja feliz ☘️,jesus coração pensar nele virá feliz ☘️
@flaviafreitas9030,2025-06-18T02:22:21Z,"Ei você que veio buscar paz e descanso e seus pensamentos não param,Deus está do seu lado,te acalmando e abençoando sua vida para um novo amanhecer,apenas creia nesse Deus que é perfeito,manso e humilde de coração 🙏🏻💙",1,musica_dormir,ei você que veio buscar paz e descanso e seus pensamentos não paramdeus está do seu ladote acalmando e abençoando sua vida para um novo amanhecerapenas creia nesse deus que é perfeitomanso e humilde de coração 🙏🏻💙,ei veio buscar paz descanso pensamentos paramdeus ladote acalmando abençoando vida novo amanhecerapenas creia nesse deus perfeitomanso humilde coração 🙏🏻💙
@josecarlosteixeiragoncalve1999,2025-06-18T01:53:50Z,"Eu sou prescrito por médico de familia no entanto os medicamentos não ajudam a dormir.
Pareço um preso politico a ser privado do sono durante a P.I.D.E/DGS.
Espero que ao ouvir esta musica o estado de sono volte ao normal. OBRIGADO",0,musica_dormir,eu sou prescrito por médico de familia no entanto os medicamentos não ajudam a dormir pareço um preso politico a ser privado do sono durante a pidedgs espero que ao ouvir esta musica o estado de sono volte ao normal obrigado,prescrito médico familia entanto medicamentos ajudam pareço preso politico privado sono durante pidedgs espero ouvir musica estado sono volte normal
@roseferreira15,2025-06-17T01:57:33Z,16/06/2025 guem mais tá ouvindo?,0,musica_dormir,guem mais tá ouvindo,guem ouvindo
@IsolinaMariaFagundesNascimento,2025-06-16T03:29:48Z,Eu amei  tô ouvindo,0,musica_dormir,eu amei tô ouvindo,amei tô ouvindo
@MariaSiburski,2025-06-15T01:14:21Z,❤❤❤❤,0,musica_dormir,❤❤❤❤,❤❤❤❤
@paulaizabel4707,2025-06-15T00:09:07Z,Like like❤❤❤,1,musica_dormir,like like❤❤❤,like like❤❤❤
@CL_Architect,2025-06-14T23:42:52Z,E só eu que tava me sentindo num filme quando o personagem passa pelo situação de transversão de mundos e cai em um mundo completamemte novo?,0,musica_dormir,e só eu que tava me sentindo num filme quando o personagem passa pelo situação de transversão de mundos e cai em um mundo completamemte novo,tava sentindo filme personagem passa situação transversão mundos cai mundo completamemte novo
@MariaAparecida19888,2025-06-14T21:47:32Z,"Eu sempre ouço antes de dormir, adoro, esta me fazendo muito bem.",0,musica_dormir,eu sempre ouço antes de dormir adoro esta me fazendo muito bem,ouço antes adoro fazendo
@stefanybuche4523,2025-06-14T11:30:44Z,"Obrigada pelo áudio, acordei às 3h da madruga com um pesadelo horrível, toda vez que cochilava o pesadelo voltava. O áudio ajudou a limpar meu sono",0,musica_dormir,obrigada pelo áudio acordei às h da madruga com um pesadelo horrível toda vez que cochilava o pesadelo voltava o áudio ajudou a limpar meu sono,áudio acordei h madruga pesadelo horrível toda vez cochilava pesadelo voltava áudio ajudou limpar sono
@maede3lorrayneoliveira,2025-06-14T03:31:12Z,Nós nunca estamos sozinhos..por mais que estamos triste hoje ..a alegria vem pela manhã..❤jesus está conosco que o espírito santo entre nós nossos corações tirando toda dor e trazendo paz e alegria em nome de jesus😊,1,musica_dormir,nós nunca estamos sozinhospor mais que estamos triste hoje a alegria vem pela manhã❤jesus está conosco que o espírito santo entre nós nossos corações tirando toda dor e trazendo paz e alegria em nome de jesus😊,nunca sozinhospor triste hoje alegria vem manhã❤jesus conosco espírito santo corações tirando toda dor trazendo paz alegria nome jesus😊
@rhayssaalves6705,2025-06-14T03:22:10Z,Amei essa musica muito relachante 😊,0,musica_dormir,amei essa musica muito relachante 😊,amei musica relachante 😊
@luizditevideos,2025-06-13T07:23:05Z,Eu tô em 2025,0,musica_dormir,eu tô em,tô
@ivonebeatrizsarayaquaresma5889,2025-06-13T00:51:51Z,Amo essas maravilhas.,0,musica_dormir,amo essas maravilhas,amo maravilhas
@franklinmoreira3026,2025-06-12T01:36:33Z,😢😢😢 tenho medo!,0,musica_dormir,😢😢😢 tenho medo,😢😢😢 medo
@paulaizabel4707,2025-06-12T00:49:17Z,"Eu aqui de novo, viciada , só durmo se tiver ouvindo esse toque 😅",0,musica_dormir,eu aqui de novo viciada só durmo se tiver ouvindo esse toque 😅,novo viciada durmo ouvindo toque 😅
@EdnaSantos-o3e,2025-06-12T00:33:12Z,"Que alegria de ler os comentários, e ver que a  ainda existe pessoas com empatia e amor ao próximo,
Que o amor de Deus, e de Jesus Cristo esteja com todos nós 🙏 amém",3,musica_dormir,que alegria de ler os comentários e ver que a ainda existe pessoas com empatia e amor ao próximo que o amor de deus e de jesus cristo esteja com todos nós 🙏 amém,alegria ler comentários existe pessoas empatia amor próximo amor deus jesus cristo todos 🙏 amém
@NatnannYelly,2025-06-10T11:50:37Z,Eu ouvi ate 3:15:53 E VCS?,0,musica_dormir,eu ouvi ate e vcs,ouvi ate vcs
@magaliluzio3599,2025-06-10T11:49:35Z,Preguiça,0,musica_dormir,preguiça,preguiça
@NatnannYelly,2025-06-10T11:47:49Z,Nossa dormi muito bem e vcs?!,0,musica_dormir,nossa dormi muito bem e vcs,dormi vcs
@Bray-k6l,2025-06-10T02:31:25Z,Alguém de 2026?,0,musica_dormir,alguém de,alguém
@GerlandioNogueira,2025-06-10T02:26:03Z,Eu,0,musica_dormir,eu,
@SueliDossantos-f1b,2025-06-09T03:06:52Z,Dorme com JESUS CASSIOTOLEDO EOBRIGADO,0,musica_dormir,dorme com jesus cassiotoledo eobrigado,dorme jesus cassiotoledo eobrigado
@fixa2524,2025-06-09T03:03:39Z,"galera, meu primo Gustavo reclamou, não gostou desse áudio, não fez ele penetrar o sono.",0,musica_dormir,galera meu primo gustavo reclamou não gostou desse áudio não fez ele penetrar o sono,galera primo gustavo reclamou gostou desse áudio fez penetrar sono
@alexandrejunior6675,2025-06-09T00:43:46Z,❤,0,musica_dormir,❤,❤
@Brecho_daevelly2023,2025-06-08T20:16:37Z,Relaxante a música 😴,0,musica_dormir,relaxante a música 😴,relaxante 😴
@NobertoGrilo7,2025-06-08T06:30:04Z,O difícil desta melodia é que eu durmo chorando kkkkk,0,musica_dormir,o difícil desta melodia é que eu durmo chorando kkkkk,difícil desta melodia durmo chorando kkkkk
@AliceOliveira-s6v,2025-06-08T01:56:11Z,😂 quero.   Dormir.        Em.      Paz🎉,0,musica_dormir,😂 quero dormir em paz🎉,😂 quero paz🎉
@duda-e6d,2025-06-06T23:56:49Z,deus me proteja de todo mal,0,musica_dormir,deus me proteja de todo mal,deus proteja todo
@polianafurtado5833,2025-06-06T18:24:44Z,Como eu amo chegar do plantão noturno e dormir a este som ❤,1,musica_dormir,como eu amo chegar do plantão noturno e dormir a este som ❤,amo chegar plantão noturno ❤
@vanusiaguedesdeazevedo2236,2025-06-06T17:04:28Z,Não consigo dormir de tarde,0,musica_dormir,não consigo dormir de tarde,consigo tarde
@janilsonalbuquerque3632,2025-06-06T07:52:50Z,"Deus abençoe sua saude , sua vida e sua noite de sono. Amém.",6,musica_dormir,deus abençoe sua saude sua vida e sua noite de sono amém,deus abençoe saude vida noite sono amém
@DarcyMascarenhas,2025-06-06T05:01:40Z,"Deus não estou conseguindo dormir 
Tranquilizem o meu coração 💓❤️.",0,musica_dormir,deus não estou conseguindo dormir tranquilizem o meu coração 💓❤️,deus conseguindo tranquilizem coração 💓❤️
@marlibruner9150,2025-06-06T03:26:26Z,Muito boa essa musiquinha eu coloca para minha filha ouvir todos os dias,0,musica_dormir,muito boa essa musiquinha eu coloca para minha filha ouvir todos os dias,boa musiquinha coloca filha ouvir todos dias
@carlinhocarlos9819,2025-06-06T00:18:59Z,😅😅p,0,musica_dormir,😅😅p,😅😅p
@GersonHalley,2025-06-05T19:43:16Z,Eu te amo pare de sofrer e fique feliz 😊,0,musica_dormir,eu te amo pare de sofrer e fique feliz 😊,amo pare sofrer fique feliz 😊
@FernandoSilvaDias-x1g,2025-06-05T04:16:10Z,Boa noite a todos,0,musica_dormir,boa noite a todos,boa noite todos
@Ttjjrjrg,2025-06-05T00:46:25Z,"Amem,aceito e acredito em todos esses comentários maravilhosos❤❤🙏🏽🙏🏽",0,musica_dormir,amemaceito e acredito em todos esses comentários maravilhosos❤❤🙏🏽🙏🏽,amemaceito acredito todos comentários maravilhosos❤❤🙏🏽🙏🏽
@sarageraldasouza8763,2025-06-04T22:29:14Z,Eu amei❤ esse son ❤,1,musica_dormir,eu amei❤ esse son ❤,amei❤ son ❤
@Ducky_exility,2025-06-04T13:26:37Z,"Oi 












































Tchau",0,musica_dormir,oi tchau,oi tchau
@XiomiNote8-d8q,2025-06-04T08:44:15Z,5:44,0,musica_dormir,,
@paulaizabel4707,2025-06-04T01:17:24Z,"Só consigo dormir ouvindo esse toque ❤ me dar paz, minha mente anestesia e eu rápido durmo 😍👏",0,musica_dormir,só consigo dormir ouvindo esse toque ❤ me dar paz minha mente anestesia e eu rápido durmo 😍👏,consigo ouvindo toque ❤ dar paz mente anestesia rápido durmo 😍👏
@JoseZamilianCorreia,2025-06-04T01:14:02Z,Bom dia,1,musica_dormir,bom dia,bom
@MariaRosa-s9f,2025-06-03T22:45:49Z,Eu,0,musica_dormir,eu,
@paulaizabel4707,2025-06-03T00:09:53Z,❤❤❤,1,musica_dormir,❤❤❤,❤❤❤
@beatrizcarvalho7347,2025-06-02T00:43:35Z,"Tão bom ouvir essa música ,Calma,e os abençoados comentarios sao bencaos gratidão",0,musica_dormir,tão bom ouvir essa música calmae os abençoados comentarios sao bencaos gratidão,bom ouvir calmae abençoados comentarios sao bencaos gratidão
@maxwellrodrigues3510,2025-06-01T18:35:02Z,Deus tem um propósito lindo em sua vida .diga amém.vc já é um vencedor em nome de Deus nosso pai .,0,musica_dormir,deus tem um propósito lindo em sua vida diga amémvc já é um vencedor em nome de deus nosso pai,deus propósito lindo vida diga amémvc vencedor nome deus pai
@eunicecarvalho544,2025-06-01T07:30:51Z,QUE EU TENHA BONS SONHOS 🙏🙌,1,musica_dormir,que eu tenha bons sonhos 🙏🙌,bons sonhos 🙏🙌
@MLUZZI49,2025-05-31T23:49:32Z,Gratidão n,1,musica_dormir,gratidão n,gratidão n
@hildenaurasantos8585,2025-05-31T05:44:48Z,Gratidão.,0,musica_dormir,gratidão,gratidão
@LiuSeven7,2025-05-31T03:17:28Z,"Para você que está lendo isto agora é seu coração foi tocado, receba a confirmação que tudo o que voce almejar será alcançado isso dependerá somente do seu foco e perseverança,  como dizia dory continue a nadar"" um forte abraço e um aquecido coração ♥",0,musica_dormir,para você que está lendo isto agora é seu coração foi tocado receba a confirmação que tudo o que voce almejar será alcançado isso dependerá somente do seu foco e perseverança como dizia dory continue a nadar um forte abraço e um aquecido coração ♥,lendo coração tocado receba confirmação voce almejar alcançado dependerá somente foco perseverança dizia dory continue nadar forte abraço aquecido coração ♥
@Fernana-c8r,2025-05-30T06:11:29Z,O sangue de jesus tem poder,0,musica_dormir,o sangue de jesus tem poder,sangue jesus poder
@Renato_sds,2025-05-29T22:03:42Z,Fico lendo os  comentários. Ore por minha família  ore por José atos e Thiago sandres 4:44:03,1,musica_dormir,fico lendo os comentários ore por minha família ore por josé atos e thiago sandres,fico lendo comentários ore família ore josé atos thiago sandres
@Renato_sds,2025-05-29T22:03:29Z,Fico lendo os  comentários. Ore por minha família  ore por José atos e Thiago sandres 4:44:03,0,musica_dormir,fico lendo os comentários ore por minha família ore por josé atos e thiago sandres,fico lendo comentários ore família ore josé atos thiago sandres
@Renato_sds,2025-05-29T22:03:19Z,Fico lendo os  comentários. Ore por minha família  ore por José atos e Thiago sandres,0,musica_dormir,fico lendo os comentários ore por minha família ore por josé atos e thiago sandres,fico lendo comentários ore família ore josé atos thiago sandres
@Renato_sds,2025-05-29T22:03:09Z,Fico lendo os  comentários. Ore por minha família  ore por José atos e Thiago sandres,0,musica_dormir,fico lendo os comentários ore por minha família ore por josé atos e thiago sandres,fico lendo comentários ore família ore josé atos thiago sandres
@daniellyresende2409,2025-05-29T13:14:08Z,Vou tentar dormi ❤ obrigado pelas palavras,0,musica_dormir,vou tentar dormi ❤ obrigado pelas palavras,tentar dormi ❤ palavras
@ottoanimado7580,2025-05-29T03:41:42Z,"Ei.. caro leitor deste comentário,  vai ficar tudo bem, tenha determinação",0,musica_dormir,ei caro leitor deste comentário vai ficar tudo bem tenha determinação,ei caro leitor deste comentário ficar determinação
@mateusleal5996,2025-05-28T02:14:00Z,"De uma chance à Deus, o Senhor te ama!",0,musica_dormir,de uma chance à deus o senhor te ama,chance deus senhor ama
@capivara0.2,2025-05-28T00:57:59Z,Não procure a felicidade ela está aqui  boa noite 🙏🏻,0,musica_dormir,não procure a felicidade ela está aqui boa noite 🙏🏻,procure felicidade boa noite 🙏🏻
@byavieira4901,2025-05-27T21:54:38Z,Oiko😮,0,musica_dormir,oiko😮,oiko😮
@valeriabarbugli2599,2025-05-27T06:56:46Z,(,0,musica_dormir,,
@XxeditszxX-1rj,2025-05-27T04:33:30Z,":) o video mais bom que ja vi na minha vida ) e deus te abençoe se vc leu❤
@RD10😊",0,musica_dormir,o video mais bom que ja vi na minha vida e deus te abençoe se vc leu❤ 😊,bom ja vi vida deus abençoe leu❤ 😊
@SheilagoncalvesDasilva-dj7hk,2025-05-27T01:10:10Z,"Melhorou a eu ser uma pessoa melhor

@cassiotoledo O MELHOR 🎉❤❤❤🎉",0,musica_dormir,melhorou a eu ser uma pessoa melhor o melhor 🎉❤❤❤🎉,melhorou pessoa melhor melhor 🎉❤❤❤🎉
@sr_gojozinho,2025-05-26T13:49:07Z,Eu fiz foi passa I sono,1,musica_dormir,eu fiz foi passa i sono,fiz passa i sono
@SueliDossantos-f1b,2025-05-26T13:46:09Z,Cássio Toledo você tem O ESPÍRITO DE DEUS DEUS TE GUARDESEMPRE AMEM VOVO SUELI,0,musica_dormir,cássio toledo você tem o espírito de deus deus te guardesempre amem vovo sueli,cássio toledo espírito deus deus guardesempre amem vovo sueli
@SueliDossantos-f1b,2025-05-26T04:07:10Z,Perfeitissima. Estou outra  pessoa acada dia melhor ate desaude amem jesus😅❤,0,musica_dormir,perfeitissima estou outra pessoa acada dia melhor ate desaude amem jesus😅❤,perfeitissima outra pessoa acada melhor ate desaude amem jesus😅❤
@sperkemem,2025-05-26T03:01:12Z,:) 4:36,0,musica_dormir,,
@marcosrangel7749,2025-05-25T21:18:04Z,Lilo & Stitch 341milhões e MI 204 milhões,0,musica_dormir,lilo stitch milhões e mi milhões,lilo stitch milhões mi milhões
@andredeoliveiragomes8663,2025-05-25T01:42:22Z,Yvan eht nioj,0,musica_dormir,yvan eht nioj,yvan eht nioj
@BrunaSoares-v3q,2025-05-24T00:30:19Z,"Para apessoadooa que éstá Lente este comentário,tudo bem, tudo bem  se sentir sozinho àsvezes, se momentos didíceis,💤🫶🏼🥹❤️✨✨",0,musica_dormir,para apessoadooa que éstá lente este comentáriotudo bem tudo bem se sentir sozinho àsvezes se momentos didíceis💤🫶🏼🥹❤️✨✨,apessoadooa éstá lente comentáriotudo sentir sozinho àsvezes momentos didíceis💤🫶🏼🥹❤️✨✨
@KalinaPassosmaia,2025-05-23T22:58:22Z,Bom,0,musica_dormir,bom,bom
@AfonsetePayguete,2025-05-23T17:34:57Z,Alto xalorofr,0,musica_dormir,alto xalorofr,alto xalorofr
@ivaldiraaraujo5984,2025-05-23T15:59:53Z,Gratidão  gratidao!❤❤❤,0,musica_dormir,gratidão gratidao❤❤❤,gratidão gratidao❤❤❤
@alicenunes4924,2025-05-23T02:52:57Z,Muchas gracias,0,musica_dormir,muchas gracias,muchas gracias
@nossomundo-t3n,2025-05-22T00:33:35Z,❤❤❤❤❤❤,0,musica_dormir,❤❤❤❤❤❤,❤❤❤❤❤❤
@sandraalves9263,2025-05-22T00:07:53Z,Cassio toledo me dá uma resposta por favorzinho ninguém nunca me deu uma😞😭😢 21:07 por favorzinho 😭😭😭😭😭😭😭😭😢😢😢😢,0,musica_dormir,cassio toledo me dá uma resposta por favorzinho ninguém nunca me deu uma😞😭😢 por favorzinho 😭😭😭😭😭😭😭😭😢😢😢😢,cassio toledo dá resposta favorzinho ninguém nunca deu uma😞😭😢 favorzinho 😭😭😭😭😭😭😭😭😢😢😢😢
@princesamissionaria3529,2025-05-21T00:52:53Z,Aquietai-vos e sabei que eu sou Deus! Que toda tristeza e ansiedade sai da tua vida e que a alegria do Senhor seja a sua força 🙌 amém?,39,musica_dormir,aquietaivos e sabei que eu sou deus que toda tristeza e ansiedade sai da tua vida e que a alegria do senhor seja a sua força 🙌 amém,aquietaivos sabei deus toda tristeza ansiedade sai vida alegria senhor força 🙌 amém
@KauaReis-t3g,2025-05-20T23:06:21Z,Nao consigo dormir sem assistir esse video me ajudou muito 😁 nesse 3 anos,1,musica_dormir,nao consigo dormir sem assistir esse video me ajudou muito 😁 nesse anos,nao consigo assistir ajudou 😁 nesse anos
@raimundofreitas3295,2025-05-20T14:37:04Z,Legal,1,musica_dormir,legal,legal
@lucaspiresreinhardt6122,2025-05-20T05:45:29Z,"minha,é insônia mesmo",0,musica_dormir,minhaé insônia mesmo,minhaé insônia
@queziagomes7494,2025-05-20T02:45:50Z,"Passando pra lembrar… calma, respire… não faça nada por impulso, tudo passa, inclusive o hoje, e logo vem o amanhã!!",0,musica_dormir,passando pra lembrar… calma respire… não faça nada por impulso tudo passa inclusive o hoje e logo vem o amanhã,passando lembrar… respire… faça nada impulso passa inclusive hoje logo vem amanhã
@IasminDamke,2025-05-20T02:32:31Z,Ei to em 2025,0,musica_dormir,ei to em,ei to
@leila2405,2025-05-19T04:32:17Z,Gente que bizarro 13 minutos e isso me deu uma tristeza imensa,0,musica_dormir,gente que bizarro minutos e isso me deu uma tristeza imensa,bizarro minutos deu tristeza imensa
@1234567829196,2025-05-19T01:48:30Z,"Eu vim parar aqui para acalmar meu coração e queria desabafar, mas já de passagem desejo a todos uma boa vida. Não desistam nunca. Por mais difícil e solitário que seja. Hoje estou realmente só.",2,musica_dormir,eu vim parar aqui para acalmar meu coração e queria desabafar mas já de passagem desejo a todos uma boa vida não desistam nunca por mais difícil e solitário que seja hoje estou realmente só,vim parar acalmar coração queria desabafar passagem desejo todos boa vida desistam nunca difícil solitário hoje realmente
@AlphaDoggy077,2025-05-19T00:49:12Z,❤❤❤😍😍😴,0,musica_dormir,❤❤❤😍😍😴,❤❤❤😍😍😴
@Rickzzzkk,2025-05-18T05:19:14Z,"Para a pessoa que estiver lendo esse comentário, vai dar tudo certo! Apenas relaxe... Não fique pensando se vai dar errado ou não, apenas viva e aprenda com os seus erros, e o mais importante, não desista do seu sonho! Tudo é possível! Apenas acredite.",0,musica_dormir,para a pessoa que estiver lendo esse comentário vai dar tudo certo apenas relaxe não fique pensando se vai dar errado ou não apenas viva e aprenda com os seus erros e o mais importante não desista do seu sonho tudo é possível apenas acredite,pessoa lendo comentário dar certo apenas relaxe fique pensando dar errado apenas viva aprenda erros importante desista sonho possível apenas acredite
@MireliRockenbach-e5c,2025-05-17T16:41:42Z,❤😴😘,0,musica_dormir,❤😴😘,❤😴😘
